timestamp,cam,cam_frame,class,confidence,count_this_frame
2026-05-20 23:50:49,cam-c,5,potted plant,0.342,1
2026-05-20 23:50:49,cam-b,23,umbrella,0.756,1
2026-05-20 23:50:49,cam-b,23,car,0.745,1
2026-05-20 23:50:49,cam-b,23,truck,0.518,1
2026-05-20 23:50:49,cam-b,24,umbrella,0.742,1
2026-05-20 23:50:49,cam-b,24,car,0.400,1
2026-05-20 23:50:49,cam-e,6,motorcycle,0.785,1
2026-05-20 23:50:49,cam-e,6,car,0.572,3
2026-05-20 23:50:49,cam-e,6,person,0.448,1
2026-05-20 23:50:49,cam-c,6,truck,0.887,1
2026-05-20 23:50:49,cam-c,6,car,0.722,8
2026-05-20 23:50:49,cam-c,6,potted plant,0.336,1
2026-05-20 23:50:49,cam-a,24,car,0.520,2
2026-05-20 23:50:49,cam-d,6,car,0.894,3
2026-05-20 23:50:49,cam-d,6,umbrella,0.591,1
2026-05-20 23:50:50,cam-b,25,umbrella,0.765,1
2026-05-20 23:50:50,cam-b,25,car,0.514,1
2026-05-20 23:50:50,cam-b,25,truck,0.394,1
2026-05-20 23:50:50,cam-a,25,car,0.498,2
2026-05-20 23:50:50,cam-c,7,truck,0.874,1
2026-05-20 23:50:50,cam-c,7,car,0.708,8
2026-05-20 23:50:50,cam-c,7,potted plant,0.321,1
2026-05-20 23:50:50,cam-d,7,car,0.876,3
2026-05-20 23:50:50,cam-d,7,umbrella,0.448,1
2026-05-20 23:50:50,cam-d,7,truck,0.280,1
2026-05-20 23:50:50,cam-e,7,motorcycle,0.784,1
2026-05-20 23:50:50,cam-e,7,car,0.537,4
2026-05-20 23:50:50,cam-e,7,person,0.458,1
2026-05-20 23:50:50,cam-d,8,car,0.854,3
2026-05-20 23:50:50,cam-d,8,umbrella,0.402,1
2026-05-20 23:50:50,cam-e,8,car,0.529,3
2026-05-20 23:50:50,cam-e,8,person,0.438,1
2026-05-20 23:50:50,cam-e,8,motorcycle,0.424,1
2026-05-20 23:50:50,cam-e,8,bicycle,0.359,1
2026-05-20 23:50:50,cam-c,8,truck,0.853,1
2026-05-20 23:50:50,cam-c,8,car,0.708,10
2026-05-20 23:50:50,cam-c,8,potted plant,0.309,1
2026-05-20 23:50:50,cam-b,26,umbrella,0.753,1
2026-05-20 23:50:50,cam-b,26,truck,0.428,1
2026-05-20 23:50:50,cam-b,26,car,0.361,1
2026-05-20 23:50:50,cam-a,26,car,0.500,2
2026-05-20 23:50:50,cam-e,9,car,0.549,4
2026-05-20 23:50:50,cam-a,27,car,0.484,2
2026-05-20 23:50:50,cam-d,9,car,0.845,2
2026-05-20 23:50:50,cam-d,9,umbrella,0.301,1
2026-05-20 23:50:50,cam-c,9,truck,0.841,1
2026-05-20 23:50:50,cam-c,9,car,0.691,9
2026-05-20 23:50:50,cam-c,9,potted plant,0.296,1
2026-05-20 23:50:50,cam-b,27,umbrella,0.704,1
2026-05-20 23:50:50,cam-b,27,car,0.350,5
2026-05-20 23:50:50,cam-b,27,truck,0.252,1
2026-05-20 23:50:50,cam-b,28,car,0.639,4
2026-05-20 23:50:50,cam-b,28,umbrella,0.639,1
2026-05-20 23:50:50,cam-b,28,truck,0.338,1
2026-05-20 23:50:50,cam-c,10,truck,0.833,1
2026-05-20 23:50:50,cam-c,10,car,0.688,9
2026-05-20 23:50:50,cam-c,10,potted plant,0.328,1
2026-05-20 23:50:50,cam-e,10,car,0.531,4
2026-05-20 23:50:50,cam-e,10,bicycle,0.392,1
2026-05-20 23:50:50,cam-e,10,motorcycle,0.283,1
2026-05-20 23:50:50,cam-a,28,car,0.482,2
2026-05-20 23:50:50,cam-d,10,car,0.884,4
2026-05-20 23:50:51,cam-b,29,car,0.625,2
2026-05-20 23:50:51,cam-b,29,truck,0.591,1
2026-05-20 23:50:51,cam-b,29,umbrella,0.299,1
2026-05-20 23:50:51,cam-c,11,truck,0.863,1
2026-05-20 23:50:51,cam-c,11,car,0.691,8
2026-05-20 23:50:51,cam-c,11,potted plant,0.334,1
2026-05-20 23:50:51,cam-d,11,car,0.878,3
2026-05-20 23:50:51,cam-d,11,umbrella,0.272,1
2026-05-20 23:50:51,cam-a,29,car,0.492,3
2026-05-20 23:50:51,cam-e,11,car,0.498,3
2026-05-20 23:50:51,cam-e,11,bicycle,0.440,1
2026-05-20 23:50:51,cam-d,12,car,0.845,4
2026-05-20 23:50:51,cam-e,12,bicycle,0.699,1
2026-05-20 23:50:51,cam-e,12,car,0.504,3
2026-05-20 23:50:51,cam-c,12,truck,0.849,1
2026-05-20 23:50:51,cam-c,12,car,0.681,9
2026-05-20 23:50:51,cam-c,12,potted plant,0.317,1
2026-05-20 23:50:51,cam-b,30,car,0.743,2
2026-05-20 23:50:51,cam-b,30,umbrella,0.510,1
2026-05-20 23:50:51,cam-b,30,truck,0.413,1
2026-05-20 23:50:51,cam-a,30,car,0.508,3
2026-05-20 23:50:51,cam-a,31,car,0.502,3
2026-05-20 23:50:51,cam-e,13,bicycle,0.706,1
2026-05-20 23:50:51,cam-e,13,car,0.520,3
2026-05-20 23:50:51,cam-e,13,person,0.479,1
2026-05-20 23:50:51,cam-d,13,car,0.870,4
2026-05-20 23:50:51,cam-d,13,umbrella,0.309,1
2026-05-20 23:50:51,cam-b,31,car,0.794,3
2026-05-20 23:50:51,cam-b,31,umbrella,0.421,1
2026-05-20 23:50:51,cam-c,13,car,0.677,8
2026-05-20 23:50:51,cam-c,13,truck,0.657,1
2026-05-20 23:50:51,cam-c,13,potted plant,0.307,1
2026-05-20 23:50:51,cam-a,32,car,0.482,3
2026-05-20 23:50:51,cam-c,14,truck,0.811,1
2026-05-20 23:50:51,cam-c,14,car,0.683,8
2026-05-20 23:50:51,cam-c,14,potted plant,0.336,1
2026-05-20 23:50:51,cam-e,14,bicycle,0.740,1
2026-05-20 23:50:51,cam-e,14,car,0.502,3
2026-05-20 23:50:51,cam-b,32,car,0.836,3
2026-05-20 23:50:51,cam-b,32,umbrella,0.670,1
2026-05-20 23:50:51,cam-d,14,car,0.857,4
2026-05-20 23:50:51,cam-d,14,umbrella,0.479,1
2026-05-20 23:50:52,cam-b,33,car,0.720,2
2026-05-20 23:50:52,cam-b,33,umbrella,0.699,1
2026-05-20 23:50:52,cam-c,15,truck,0.686,1
2026-05-20 23:50:52,cam-c,15,car,0.684,6
2026-05-20 23:50:52,cam-c,15,potted plant,0.361,1
2026-05-20 23:50:52,cam-d,15,car,0.890,5
2026-05-20 23:50:52,cam-d,15,umbrella,0.406,1
2026-05-20 23:50:52,cam-a,33,car,0.451,3
2026-05-20 23:50:52,cam-e,15,car,0.553,3
2026-05-20 23:50:52,cam-e,15,bicycle,0.449,1
2026-05-20 23:50:52,cam-e,15,motorcycle,0.312,1
2026-05-20 23:50:52,cam-e,16,car,0.549,3
2026-05-20 23:50:52,cam-e,16,person,0.514,1
2026-05-20 23:50:52,cam-e,16,motorcycle,0.510,1
2026-05-20 23:50:52,cam-c,16,truck,0.765,1
2026-05-20 23:50:52,cam-c,16,car,0.681,7
2026-05-20 23:50:52,cam-c,16,potted plant,0.333,1
2026-05-20 23:50:52,cam-d,16,car,0.885,5
2026-05-20 23:50:52,cam-d,16,umbrella,0.299,1
2026-05-20 23:50:52,cam-b,34,car,0.816,4
2026-05-20 23:50:52,cam-b,34,umbrella,0.706,1
2026-05-20 23:50:52,cam-a,34,car,0.479,3
2026-05-20 23:50:52,cam-a,35,car,0.467,3
2026-05-20 23:50:52,cam-d,17,car,0.900,5
2026-05-20 23:50:52,cam-d,17,umbrella,0.463,1
2026-05-20 23:50:52,cam-e,17,car,0.598,3
2026-05-20 23:50:52,cam-e,17,motorcycle,0.319,1
2026-05-20 23:50:52,cam-c,17,truck,0.706,1
2026-05-20 23:50:52,cam-c,17,car,0.681,7
2026-05-20 23:50:52,cam-c,17,potted plant,0.309,1
2026-05-20 23:50:52,cam-b,35,car,0.819,3
2026-05-20 23:50:52,cam-b,35,umbrella,0.688,1
2026-05-20 23:50:52,cam-a,36,car,0.469,3
2026-05-20 23:50:52,cam-c,18,truck,0.785,1
2026-05-20 23:50:52,cam-c,18,car,0.688,6
2026-05-20 23:50:52,cam-c,18,potted plant,0.275,1
2026-05-20 23:50:52,cam-b,36,car,0.808,2
2026-05-20 23:50:52,cam-b,36,umbrella,0.742,1
2026-05-20 23:50:52,cam-e,18,bicycle,0.676,1
2026-05-20 23:50:52,cam-e,18,car,0.564,3
2026-05-20 23:50:52,cam-d,18,car,0.882,5
