timestamp,cam,cam_frame,class,confidence,count_this_frame,brand_id
2026-05-21 14:22:30,CCTV02,1,car,0.894,3,2
2026-05-21 14:22:30,CCTV01,1,umbrella,0.725,1,
2026-05-21 14:22:30,CCTV01,1,car,0.264,1,2
2026-05-21 14:22:40,CCTV02,3,car,0.898,3,2
2026-05-21 14:22:40,CCTV01,3,umbrella,0.736,1,
2026-05-21 14:22:40,CCTV02,5,car,0.808,4,9
2026-05-21 14:22:40,CCTV01,5,umbrella,0.766,1,
2026-05-21 14:22:40,CCTV01,5,car,0.549,2,21
2026-05-21 14:22:40,CCTV01,5,truck,0.267,1,
2026-05-21 14:22:41,CCTV02,7,car,0.893,2,21
2026-05-21 14:22:41,CCTV01,7,car,0.849,2,2
2026-05-21 14:22:41,CCTV01,7,umbrella,0.739,1,
2026-05-21 14:22:41,CCTV02,9,car,0.904,2,21
2026-05-21 14:22:41,CCTV01,9,car,0.801,1,21
2026-05-21 14:22:41,CCTV01,9,umbrella,0.727,1,
2026-05-21 14:22:41,CCTV02,11,car,0.903,2,21
2026-05-21 14:22:41,CCTV02,11,motorcycle,0.701,2,
2026-05-21 14:22:41,CCTV01,11,umbrella,0.789,1,
2026-05-21 14:22:41,CCTV02,13,car,0.912,2,21
2026-05-21 14:22:41,CCTV02,13,motorcycle,0.583,1,
2026-05-21 14:22:41,CCTV02,13,bicycle,0.484,1,
2026-05-21 14:22:41,CCTV01,13,umbrella,0.722,1,
2026-05-21 14:22:41,CCTV01,13,person,0.267,1,
2026-05-21 14:22:41,CCTV01,13,car,0.264,1,21
2026-05-21 14:22:42,CCTV02,15,car,0.917,1,21
2026-05-21 14:22:42,CCTV02,15,motorcycle,0.352,1,
2026-05-21 14:22:42,CCTV01,15,umbrella,0.731,1,
2026-05-21 14:22:42,CCTV02,17,car,0.890,1,21
2026-05-21 14:22:42,CCTV02,17,motorcycle,0.547,2,
2026-05-21 14:22:42,CCTV02,17,bicycle,0.309,1,
2026-05-21 14:22:42,CCTV01,17,umbrella,0.714,1,
2026-05-21 14:22:42,CCTV01,17,motorcycle,0.292,1,
2026-05-21 14:22:42,CCTV01,17,car,0.291,1,22
2026-05-21 14:22:42,CCTV02,19,car,0.843,1,21
2026-05-21 14:22:42,CCTV02,19,motorcycle,0.430,2,
2026-05-21 14:22:42,CCTV01,19,umbrella,0.756,1,
2026-05-21 14:22:42,CCTV01,19,person,0.250,1,
2026-05-21 14:22:42,CCTV02,21,car,0.797,2,21
2026-05-21 14:22:42,CCTV02,21,bicycle,0.484,1,
2026-05-21 14:22:42,CCTV02,21,motorcycle,0.482,1,
2026-05-21 14:22:42,CCTV01,21,umbrella,0.759,1,
2026-05-21 14:22:42,CCTV01,21,car,0.438,1,22
2026-05-21 14:22:42,CCTV01,21,person,0.376,2,
2026-05-21 14:22:43,CCTV02,23,car,0.814,1,21
2026-05-21 14:22:43,CCTV02,23,motorcycle,0.446,1,
2026-05-21 14:22:43,CCTV02,23,bicycle,0.372,1,
2026-05-21 14:22:43,CCTV01,23,umbrella,0.681,1,
2026-05-21 14:22:43,CCTV01,23,car,0.598,2,21
2026-05-21 14:22:43,CCTV01,23,motorcycle,0.252,1,
2026-05-21 14:22:43,CCTV02,25,car,0.704,2,21
2026-05-21 14:22:43,CCTV02,25,motorcycle,0.533,1,
2026-05-21 14:22:43,CCTV01,25,car,0.727,3,21
2026-05-21 14:22:43,CCTV01,25,umbrella,0.688,1,
2026-05-21 14:22:43,CCTV01,25,person,0.358,1,
2026-05-21 14:22:43,CCTV02,27,motorcycle,0.653,2,
2026-05-21 14:22:43,CCTV02,27,car,0.635,1,21
2026-05-21 14:22:43,CCTV01,27,car,0.745,2,21
2026-05-21 14:22:43,CCTV01,27,umbrella,0.502,1,
2026-05-21 14:22:43,CCTV01,27,motorcycle,0.377,1,
2026-05-21 14:22:43,CCTV01,27,person,0.311,1,
2026-05-21 14:22:44,CCTV02,29,car,0.717,2,21
2026-05-21 14:22:44,CCTV02,29,bicycle,0.426,1,
2026-05-21 14:22:44,CCTV02,29,motorcycle,0.277,1,
2026-05-21 14:22:44,CCTV01,29,umbrella,0.732,1,
2026-05-21 14:22:44,CCTV01,29,car,0.664,2,21
2026-05-21 14:22:44,CCTV01,29,person,0.306,1,
2026-05-21 14:22:44,CCTV02,31,car,0.799,4,21
2026-05-21 14:22:44,CCTV02,31,bicycle,0.551,1,
2026-05-21 14:22:44,CCTV01,31,car,0.748,2,21
2026-05-21 14:22:44,CCTV01,31,umbrella,0.708,1,
2026-05-21 14:22:44,CCTV02,33,car,0.578,1,21
2026-05-21 14:22:44,CCTV02,33,bicycle,0.531,1,
2026-05-21 14:22:44,CCTV02,33,motorcycle,0.413,1,
2026-05-21 14:22:44,CCTV01,33,car,0.858,3,21
2026-05-21 14:22:44,CCTV01,33,umbrella,0.704,1,
2026-05-21 14:22:44,CCTV02,35,car,0.670,1,21
2026-05-21 14:22:44,CCTV02,35,motorcycle,0.392,2,
2026-05-21 14:22:44,CCTV01,35,car,0.830,4,21
2026-05-21 14:22:44,CCTV01,35,umbrella,0.537,1,
2026-05-21 14:22:45,CCTV01,37,car,0.841,4,21
2026-05-21 14:22:45,CCTV01,37,umbrella,0.343,1,
2026-05-21 14:22:45,CCTV02,37,car,0.694,2,21
2026-05-21 14:22:45,CCTV02,37,motorcycle,0.326,1,
2026-05-21 14:22:45,CCTV02,37,bicycle,0.323,1,
2026-05-21 14:22:45,CCTV01,39,car,0.809,4,9
2026-05-21 14:22:45,CCTV01,39,umbrella,0.547,1,
2026-05-21 14:22:45,CCTV02,39,car,0.677,3,21
2026-05-21 14:22:45,CCTV02,39,motorcycle,0.473,1,
2026-05-21 14:22:45,CCTV02,39,bicycle,0.319,1,
2026-05-21 14:22:45,CCTV01,41,car,0.764,4,7
2026-05-21 14:22:45,CCTV01,41,umbrella,0.674,1,
2026-05-21 14:22:45,CCTV02,41,car,0.859,2,21
2026-05-21 14:22:45,CCTV02,41,bicycle,0.453,1,
2026-05-21 14:22:45,CCTV02,41,motorcycle,0.266,1,
2026-05-21 14:22:45,CCTV02,43,car,0.868,3,21
2026-05-21 14:22:45,CCTV02,43,bicycle,0.488,2,
2026-05-21 14:22:45,CCTV02,43,motorcycle,0.340,1,
2026-05-21 14:22:45,CCTV01,43,car,0.820,3,21
2026-05-21 14:22:45,CCTV01,43,umbrella,0.670,1,
2026-05-21 14:22:46,CCTV02,45,car,0.913,3,21
2026-05-21 14:22:46,CCTV02,45,bicycle,0.658,2,
2026-05-21 14:22:46,CCTV01,45,car,0.873,2,21
2026-05-21 14:22:46,CCTV01,45,umbrella,0.728,1,
2026-05-21 14:22:46,CCTV02,47,car,0.841,5,21
2026-05-21 14:22:46,CCTV02,47,motorcycle,0.421,1,
2026-05-21 14:22:46,CCTV02,47,bicycle,0.255,1,
2026-05-21 14:22:46,CCTV01,47,car,0.896,2,21
2026-05-21 14:22:46,CCTV01,47,umbrella,0.755,1,
2026-05-21 14:22:46,CCTV01,47,motorcycle,0.372,1,
2026-05-21 14:22:46,CCTV01,47,truck,0.285,1,
2026-05-21 14:22:46,CCTV02,49,car,0.878,3,21
2026-05-21 14:22:46,CCTV02,49,motorcycle,0.589,1,
2026-05-21 14:22:46,CCTV01,49,car,0.922,6,21
2026-05-21 14:22:46,CCTV01,49,umbrella,0.742,1,
2026-05-21 14:22:46,CCTV01,49,motorcycle,0.392,2,
2026-05-21 14:22:46,CCTV02,51,car,0.908,3,21
2026-05-21 14:22:46,CCTV01,51,car,0.924,4,21
2026-05-21 14:22:46,CCTV01,51,umbrella,0.710,1,
2026-05-21 14:22:46,CCTV01,51,motorcycle,0.461,1,
2026-05-21 14:22:47,CCTV01,53,car,0.861,4,21
2026-05-21 14:22:47,CCTV01,53,umbrella,0.670,1,
2026-05-21 14:22:47,CCTV01,53,truck,0.333,1,
2026-05-21 14:22:47,CCTV01,53,motorcycle,0.309,1,
2026-05-21 14:22:47,CCTV01,55,umbrella,0.771,1,
2026-05-21 14:22:47,CCTV01,55,car,0.549,1,21
2026-05-21 14:22:47,CCTV01,55,bicycle,0.294,1,
2026-05-21 14:22:47,CCTV01,57,umbrella,0.785,1,
2026-05-21 14:22:47,CCTV01,57,motorcycle,0.402,2,
2026-05-21 14:22:47,CCTV01,57,person,0.395,1,
2026-05-21 14:22:47,CCTV01,57,car,0.251,1,22
2026-05-21 14:22:47,CCTV02,54,car,0.715,3,21
2026-05-21 14:22:47,CCTV02,54,bicycle,0.477,2,
2026-05-21 14:22:47,CCTV01,59,umbrella,0.793,1,
2026-05-21 14:22:47,CCTV01,59,car,0.607,1,2
2026-05-21 14:22:47,CCTV01,59,motorcycle,0.402,1,
2026-05-21 14:22:47,CCTV01,59,person,0.345,1,
2026-05-21 14:22:47,CCTV02,56,car,0.606,2,21
2026-05-21 14:22:47,CCTV02,56,bicycle,0.377,2,
2026-05-21 14:22:48,CCTV01,61,umbrella,0.783,1,
2026-05-21 14:22:48,CCTV01,61,car,0.679,1,22
2026-05-21 14:22:48,CCTV01,61,motorcycle,0.381,1,
2026-05-21 14:22:48,CCTV01,61,person,0.357,1,
2026-05-21 14:22:48,CCTV02,58,bicycle,0.480,2,
2026-05-21 14:22:48,CCTV02,58,car,0.400,2,21
2026-05-21 14:22:48,CCTV01,63,umbrella,0.766,1,
2026-05-21 14:22:48,CCTV01,63,car,0.681,1,21
2026-05-21 14:22:48,CCTV01,63,bicycle,0.496,1,
2026-05-21 14:22:48,CCTV01,63,person,0.331,1,
2026-05-21 14:22:48,CCTV02,60,car,0.591,2,21
2026-05-21 14:22:48,CCTV02,60,bicycle,0.278,1,
2026-05-21 14:22:48,CCTV01,65,umbrella,0.776,1,
2026-05-21 14:22:48,CCTV01,65,bicycle,0.646,1,
2026-05-21 14:22:48,CCTV01,65,car,0.580,1,22
2026-05-21 14:22:48,CCTV01,65,person,0.372,1,
2026-05-21 14:22:48,CCTV02,62,car,0.841,3,21
2026-05-21 14:22:48,CCTV02,62,bicycle,0.316,1,
2026-05-21 14:22:48,CCTV02,62,motorcycle,0.269,1,
2026-05-21 14:22:48,CCTV01,67,umbrella,0.773,1,
2026-05-21 14:22:48,CCTV01,67,bicycle,0.434,1,
2026-05-21 14:22:48,CCTV01,67,person,0.337,1,
2026-05-21 14:22:48,CCTV01,67,car,0.252,1,22
2026-05-21 14:22:48,CCTV02,64,car,0.847,2,21
2026-05-21 14:22:48,CCTV02,64,bicycle,0.479,1,
2026-05-21 14:22:49,CCTV01,69,umbrella,0.784,1,
2026-05-21 14:22:49,CCTV01,69,car,0.607,1,22
2026-05-21 14:22:49,CCTV01,69,bicycle,0.531,1,
2026-05-21 14:22:49,CCTV01,69,person,0.390,1,
2026-05-21 14:22:49,CCTV02,66,car,0.894,3,21
2026-05-21 14:22:49,CCTV02,66,bicycle,0.436,1,
2026-05-21 14:22:49,CCTV01,71,umbrella,0.691,1,
2026-05-21 14:22:49,CCTV01,71,car,0.436,1,22
2026-05-21 14:22:49,CCTV01,71,person,0.413,1,
2026-05-21 14:22:49,CCTV02,68,car,0.873,2,21
2026-05-21 14:22:49,CCTV02,68,bicycle,0.455,1,
2026-05-21 14:22:49,CCTV02,70,car,0.863,2,21
2026-05-21 14:22:49,CCTV02,70,bicycle,0.376,1,
2026-05-21 14:22:49,CCTV01,73,umbrella,0.717,1,
2026-05-21 14:22:49,CCTV01,73,car,0.500,2,22
2026-05-21 14:22:49,CCTV01,73,person,0.428,1,
2026-05-21 14:22:50,CCTV02,72,car,0.904,2,21
2026-05-21 14:22:50,CCTV02,72,motorcycle,0.347,1,
2026-05-21 14:22:50,CCTV02,72,bicycle,0.317,1,
2026-05-21 14:22:50,CCTV01,75,umbrella,0.762,1,
2026-05-21 14:22:50,CCTV01,75,truck,0.555,1,
2026-05-21 14:22:50,CCTV01,75,person,0.417,1,
2026-05-21 14:22:50,CCTV01,75,car,0.417,1,2
2026-05-21 14:22:50,CCTV02,74,car,0.903,2,21
2026-05-21 14:22:50,CCTV02,74,motorcycle,0.609,2,
2026-05-21 14:22:50,CCTV01,77,umbrella,0.817,1,
2026-05-21 14:22:50,CCTV01,77,truck,0.653,1,
2026-05-21 14:22:50,CCTV01,77,person,0.405,1,
2026-05-21 14:22:50,CCTV02,76,car,0.913,2,21
2026-05-21 14:22:50,CCTV02,76,motorcycle,0.465,2,
2026-05-21 14:22:50,CCTV02,76,bicycle,0.252,1,
2026-05-21 14:22:50,CCTV01,79,umbrella,0.779,1,
2026-05-21 14:22:50,CCTV01,79,truck,0.628,1,
2026-05-21 14:22:50,CCTV01,79,person,0.347,1,
2026-05-21 14:22:50,CCTV02,78,car,0.905,2,21
2026-05-21 14:22:50,CCTV01,81,umbrella,0.771,1,
2026-05-21 14:22:50,CCTV01,81,truck,0.549,1,
2026-05-21 14:22:50,CCTV01,81,person,0.329,1,
2026-05-21 14:22:50,CCTV01,81,car,0.329,1,21
2026-05-21 14:22:51,CCTV02,80,car,0.901,3,21
2026-05-21 14:22:51,CCTV02,80,motorcycle,0.421,1,
2026-05-21 14:22:51,CCTV01,83,umbrella,0.792,1,
